"year","month","airline","flight_arrivals","flight_departures","flight_total","passenger_arrivals","passenger_departures","passenger_total","cargo_arrivals","cargo_departures","cargo_total"
"2023","7",가루다인도네시아,23,23,46,3968,4776,8744,46,141,187
"2023","7",그레이터베이항공,18,18,36,2420,2473,4893,20,11,31
"2023","7",내셔널항공,1,1,2,0,0,0,0,100,100
"2023","7",대한항공,3478,3477,6955,586530,610795,1197325,53848,50540,104388
"2023","7",델타항공,124,124,248,32784,36777,69561,210,845,1055
"2023","7",디에이치엘항공,11,11,22,0,0,0,121,0,121
"2023","7",라오항공,22,22,44,2640,2812,5452,3,7,10
"2023","7",로얄브루나이항공,13,13,26,738,824,1562,0,7,7
"2023","7",롱하오항공,7,7,14,0,0,0,17,34,51
"2023","7",루프트한자 독일항공,102,102,204,18548,15638,34186,1028,1750,2778
"2023","7",말레이시아 항공,30,30,60,4525,6158,10683,198,290,489
"2023","7",몽골항공,99,99,198,14187,16957,31144,18,145,163
"2023","7",미얀마국제항공,13,13,26,1035,1303,2338,14,3,17
"2023","7",미얀마항공,8,8,16,1203,3,1206,1,2,3
"2023","7",바틱 에어 말레이시아,31,31,62,3879,4022,7901,0,0,0
"2023","7",뱀부 항공,25,25,50,4281,4593,8874,9,4,13
"2023","7",베트남항공,186,186,372,33638,38137,71775,1007,808,1815
"2023","7",비엣젯항공,465,465,930,89219,91825,181044,422,95,517
"2023","7",사우디아항공,18,17,35,4687,3698,8385,21,211,232
"2023","7",사천항공,13,13,26,1344,1389,2733,0,5,5
"2023","7",산동항공,218,218,436,25464,26680,52144,47,6,53
"2023","7",샤먼항공,30,30,60,4612,3879,8491,44,27,71
"2023","7",세부퍼시픽항공,106,106,212,14934,17737,32671,4,35,38
"2023","7",스리랑카항공,9,9,18,1665,1779,3444,46,86,132
"2023","7",스카이 앙코르 항공,16,16,32,2036,2422,4458,7,3,10
"2023","7",스쿠트 항공,40,40,80,11659,13214,24873,67,49,116
"2023","7",실크웨이웨스트항공,14,14,28,0,0,0,490,1100,1590
"2023","7",심천항공,52,52,104,5660,6103,11763,114,8,122
"2023","7",싱가포르항공,146,147,293,27871,34553,62424,1171,1476,2647
"2023","7",아메리제트,13,13,26,0,0,0,19,345,364
"2023","7",아메리칸항공,31,31,62,8205,8819,17024,92,266,358
"2023","7",아시아나항공,2018,2016,4034,370401,394576,764977,25523,24225,49748
"2023","7",아틀라스항공,164,172,336,128,134,262,3191,583,3774
"2023","7",에미레이트항공,31,31,62,14797,14569,29366,272,379,651
"2023","7",에바항공,78,78,156,16891,17722,34613,435,583,1017
"2023","7",에어 뉴질랜드,14,13,27,2231,3632,5863,30,172,202
"2023","7",에어 아스타나,27,27,54,5186,5468,10654,7,86,92
"2023","7",에어 프랑스,31,31,62,10102,9585,19687,346,321,667
"2023","7",에어로 몽골리아,15,15,30,1170,1330,2500,0,0,0
"2023","7",에어로로직,29,29,58,0,0,0,1326,114,1441
"2023","7",에어마카오,31,31,62,4247,4498,8745,16,10,25
"2023","7",에어부산,360,359,719,69698,70875,140573,0,0,0
"2023","7",에어서울,384,384,768,69950,72904,142854,38,0,38
"2023","7",에어아시아엑스,43,44,87,10558,13288,23846,283,329,612
