"terminal","date","time_slot","departure_gate_t1_1_2","departure_gate_t1_3","departure_gate_t1_4","departure_gate_t1_5_6","total"
T1,"20250703","0~1시",0,747,0,0,747
T1,"20250703","1~2시",0,46,0,0,46
T1,"20250703","2~3시",0,45,0,0,45
T1,"20250703","3~4시",0,321,0,0,321
T1,"20250703","4~5시",0,1347,0,0,1347
T1,"20250703","5~6시",0,1972,0,739,2711
T1,"20250703","6~7시",927,1296,465,972,3660
T1,"20250703","7~8시",1647,1046,923,1188,4804
T1,"20250703","8~9시",1223,1211,837,1246,4517
T1,"20250703","9~10시",989,931,856,1160,3936
T1,"20250703","10~11시",1153,789,961,1050,3953
T1,"20250703","11~12시",695,595,739,1032,3061
T1,"20250703","12~13시",626,496,773,1061,2956
T1,"20250703","13~14시",574,615,887,1048,3124
T1,"20250703","14~15시",548,522,871,804,2745
T1,"20250703","15~16시",554,637,823,804,2818
T1,"20250703","16~17시",762,703,617,516,2598
T1,"20250703","17~18시",1029,688,545,616,2878
T1,"20250703","18~19시",1009,616,714,900,3239
T1,"20250703","19~20시",641,452,805,835,2733
T1,"20250703","20~21시",0,1078,0,425,1503
T1,"20250703","21~22시",0,516,0,238,754
T1,"20250703","22~23시",0,566,0,0,566
T1,"20250703","23~24시",0,707,0,0,707
T1,"20250704","0~1시",0,626,0,0,626
T1,"20250704","1~2시",0,48,0,0,48
T1,"20250704","2~3시",0,52,0,0,52
T1,"20250704","3~4시",0,359,0,0,359
T1,"20250704","4~5시",0,1418,0,0,1418
T1,"20250704","5~6시",0,2074,0,708,2782
T1,"20250704","6~7시",1166,1488,555,972,4181
T1,"20250704","7~8시",1846,1192,1144,1241,5423
T1,"20250704","8~9시",1393,1443,928,1319,5083
T1,"20250704","9~10시",1035,1089,936,1163,4223
T1,"20250704","10~11시",1154,793,972,973,3892
T1,"20250704","11~12시",818,608,817,1028,3271
T1,"20250704","12~13시",774,527,874,1145,3320
T1,"20250704","13~14시",688,620,969,1199,3476
T1,"20250704","14~15시",647,505,727,851,2730
T1,"20250704","15~16시",664,605,651,860,2780
T1,"20250704","16~17시",870,657,588,627,2742
T1,"20250704","17~18시",1034,666,626,732,3058
T1,"20250704","18~19시",1008,652,785,956,3401
T1,"20250704","19~20시",714,538,844,880,2976
T1,"20250704","20~21시",0,1518,0,544,2062
T1,"20250704","21~22시",0,644,0,250,894
T1,"20250704","22~23시",0,574,0,0,574
T1,"20250704","23~24시",0,968,0,0,968
T1,"20250705","0~1시",0,791,0,0,791
T1,"20250705","1~2시",0,54,0,0,54
T1,"20250705","2~3시",0,52,0,0,52
T1,"20250705","3~4시",0,330,0,0,330
T1,"20250705","4~5시",0,1338,0,0,1338
T1,"20250705","5~6시",0,2067,0,769,2836
T1,"20250705","6~7시",1029,1379,490,928,3826
T1,"20250705","7~8시",1805,1140,1061,1306,5312
T1,"20250705","8~9시",1374,1357,1042,1455,5228
T1,"20250705","9~10시",1074,1024,1119,1308,4525
T1,"20250705","10~11시",1323,893,1108,1087,4411
T1,"20250705","11~12시",896,686,799,996,3377
T1,"20250705","12~13시",890,607,854,1023,3374
T1,"20250705","13~14시",743,682,951,1057,3433
T1,"20250705","14~15시",641,627,835,801,2904
T1,"20250705","15~16시",584,656,856,868,2964
T1,"20250705","16~17시",784,749,749,553,2835
T1,"20250705","17~18시",1020,742,630,598,2990
T1,"20250705","18~19시",933,648,736,830,3147
T1,"20250705","19~20시",632,460,896,837,2825
T1,"20250705","20~21시",0,1241,0,501,1742
T1,"20250705","21~22시",0,653,0,347,1000
T1,"20250705","22~23시",0,817,0,0,817
T1,"20250705","23~24시",0,782,0,0,782
T1,"20250706","0~1시",0,632,0,0,632
T1,"20250706","1~2시",0,47,0,0,47
T1,"20250706","2~3시",0,50,0,0,50
T1,"20250706","3~4시",0,337,0,0,337
T1,"20250706","4~5시",0,1368,0,0,1368
T1,"20250706","5~6시",0,2047,0,803,2850
T1,"20250706","6~7시",1209,1541,640,1118,4508
T1,"20250706","7~8시",1836,1166,1209,1282,5493
T1,"20250706","8~9시",1315,1326,857,1199,4697
T1,"20250706","9~10시",1175,1091,984,1145,4395
T1,"20250706","10~11시",1344,918,1142,1109,4513
T1,"20250706","11~12시",1030,765,940,1145,3880
T1,"20250706","12~13시",956,636,1009,1272,3873
T1,"20250706","13~14시",855,748,1193,1370,4166
T1,"20250706","14~15시",756,623,1006,895,3280
T1,"20250706","15~16시",741,765,966,813,3285
T1,"20250706","16~17시",990,784,801,527,3102
T1,"20250706","17~18시",1230,738,670,614,3252
T1,"20250706","18~19시",1244,764,916,935,3859
