"terminal","date","time_slot","departure_gate_t2_1","departure_gate_t2_2","total"
T2,"20250703","0~1시",0,0,0
T2,"20250703","1~2시",0,0,0
T2,"20250703","2~3시",0,0,0
T2,"20250703","3~4시",22,0,22
T2,"20250703","4~5시",229,0,229
T2,"20250703","5~6시",1174,0,1174
T2,"20250703","6~7시",1300,910,2210
T2,"20250703","7~8시",1669,954,2623
T2,"20250703","8~9시",1510,902,2412
T2,"20250703","9~10시",789,560,1349
T2,"20250703","10~11시",698,498,1196
T2,"20250703","11~12시",615,346,961
T2,"20250703","12~13시",524,339,863
T2,"20250703","13~14시",658,449,1107
T2,"20250703","14~15시",686,511,1197
T2,"20250703","15~16시",499,341,840
T2,"20250703","16~17시",775,515,1290
T2,"20250703","17~18시",1116,951,2067
T2,"20250703","18~19시",829,689,1518
T2,"20250703","19~20시",982,0,982
T2,"20250703","20~21시",477,0,477
T2,"20250703","21~22시",242,0,242
T2,"20250703","22~23시",79,0,79
T2,"20250703","23~24시",0,0,0
T2,"20250704","0~1시",0,0,0
T2,"20250704","1~2시",0,0,0
T2,"20250704","2~3시",0,0,0
T2,"20250704","3~4시",23,0,23
T2,"20250704","4~5시",262,0,262
T2,"20250704","5~6시",1265,0,1265
T2,"20250704","6~7시",1349,916,2265
T2,"20250704","7~8시",1806,1014,2820
T2,"20250704","8~9시",1810,1054,2864
T2,"20250704","9~10시",933,621,1554
T2,"20250704","10~11시",671,488,1159
T2,"20250704","11~12시",810,434,1244
T2,"20250704","12~13시",723,424,1147
T2,"20250704","13~14시",761,497,1258
T2,"20250704","14~15시",808,568,1376
T2,"20250704","15~16시",655,432,1087
T2,"20250704","16~17시",1060,612,1672
T2,"20250704","17~18시",1229,933,2162
T2,"20250704","18~19시",1019,796,1815
T2,"20250704","19~20시",1085,0,1085
T2,"20250704","20~21시",558,0,558
T2,"20250704","21~22시",346,0,346
T2,"20250704","22~23시",89,0,89
T2,"20250704","23~24시",1,0,1
T2,"20250705","0~1시",0,0,0
T2,"20250705","1~2시",0,0,0
T2,"20250705","2~3시",1,0,1
T2,"20250705","3~4시",30,0,30
T2,"20250705","4~5시",345,0,345
T2,"20250705","5~6시",1661,0,1661
T2,"20250705","6~7시",1535,1181,2716
T2,"20250705","7~8시",1746,990,2736
T2,"20250705","8~9시",1667,934,2601
T2,"20250705","9~10시",914,598,1512
T2,"20250705","10~11시",804,601,1405
T2,"20250705","11~12시",859,486,1345
T2,"20250705","12~13시",701,432,1133
T2,"20250705","13~14시",806,535,1341
T2,"20250705","14~15시",830,578,1408
T2,"20250705","15~16시",538,344,882
T2,"20250705","16~17시",891,570,1461
T2,"20250705","17~18시",1327,1054,2381
T2,"20250705","18~19시",1093,854,1947
T2,"20250705","19~20시",1091,0,1091
T2,"20250705","20~21시",550,0,550
T2,"20250705","21~22시",382,0,382
T2,"20250705","22~23시",87,0,87
T2,"20250705","23~24시",0,0,0
T2,"20250706","0~1시",42,0,42
T2,"20250706","1~2시",0,0,0
T2,"20250706","2~3시",0,0,0
T2,"20250706","3~4시",24,0,24
T2,"20250706","4~5시",278,0,278
T2,"20250706","5~6시",1429,0,1429
T2,"20250706","6~7시",1628,1117,2745
T2,"20250706","7~8시",2025,1110,3135
T2,"20250706","8~9시",1866,1017,2883
T2,"20250706","9~10시",907,629,1536
T2,"20250706","10~11시",841,612,1453
T2,"20250706","11~12시",912,514,1426
T2,"20250706","12~13시",841,518,1359
T2,"20250706","13~14시",986,647,1633
T2,"20250706","14~15시",999,712,1711
T2,"20250706","15~16시",716,476,1192
T2,"20250706","16~17시",1220,787,2007
T2,"20250706","17~18시",1448,1159,2607
T2,"20250706","18~19시",923,744,1667
T2,"20250706","19~20시",1004,0,1004
T2,"20250706","20~21시",467,0,467
T2,"20250706","21~22시",259,0,259
T2,"20250706","22~23시",97,0,97
T2,"20250706","23~24시",1,0,1
T2,"20250707","0~1시",2,0,2
T2,"20250707","1~2시",32,0,32
T2,"20250707","2~3시",154,0,154
T2,"20250707","3~4시",146,0,146
T2,"20250707","4~5시",294,0,294
T2,"20250707","5~6시",1493,0,1493
T2,"20250707","6~7시",1665,1114,2779
T2,"20250707","7~8시",2017,1093,3110
T2,"20250707","8~9시",1961,1094,3055
T2,"20250707","9~10시",1024,670,1694
T2,"20250707","10~11시",942,630,1572
T2,"20250707","11~12시",1125,563,1688
T2,"20250707","12~13시",894,521,1415
T2,"20250707","13~14시",898,572,1470
T2,"20250707","14~15시",940,637,1577
T2,"20250707","15~16시",734,495,1229
T2,"20250707","16~17시",1180,750,1930
T2,"20250707","17~18시",1357,960,2317
T2,"20250707","18~19시",1069,782,1851
T2,"20250707","19~20시",1040,0,1040
T2,"20250707","20~21시",436,0,436
T2,"20250707","21~22시",257,0,257
T2,"20250707","22~23시",79,0,79
T2,"20250707","23~24시",0,0,0
T2,"20250708","0~1시",0,0,0
T2,"20250708","1~2시",0,0,0
T2,"20250708","2~3시",0,0,0
T2,"20250708","3~4시",17,0,17
T2,"20250708","4~5시",220,0,220
T2,"20250708","5~6시",1152,0,1152
T2,"20250708","6~7시",1449,937,2386
T2,"20250708","7~8시",1893,1020,2913
T2,"20250708","8~9시",1583,895,2478
T2,"20250708","9~10시",816,567,1383
T2,"20250708","10~11시",704,541,1245
T2,"20250708","11~12시",643,394,1037
T2,"20250708","12~13시",647,419,1066
T2,"20250708","13~14시",792,524,1316
T2,"20250708","14~15시",751,540,1291
T2,"20250708","15~16시",447,282,729
T2,"20250708","16~17시",795,506,1301
T2,"20250708","17~18시",1115,911,2026
T2,"20250708","18~19시",859,738,1597
T2,"20250708","19~20시",989,0,989
T2,"20250708","20~21시",450,0,450
T2,"20250708","21~22시",205,0,205
T2,"20250708","22~23시",59,0,59
T2,"20250708","23~24시",0,0,0
T2,"20250709","0~1시",0,0,0
T2,"20250709","1~2시",0,0,0
T2,"20250709","2~3시",0,0,0
T2,"20250709","3~4시",16,0,16
T2,"20250709","4~5시",209,0,209
T2,"20250709","5~6시",1082,0,1082
T2,"20250709","6~7시",1299,854,2153
T2,"20250709","7~8시",1682,912,2594
T2,"20250709","8~9시",1635,946,2581
T2,"20250709","9~10시",868,585,1453
T2,"20250709","10~11시",695,499,1194
T2,"20250709","11~12시",876,446,1322
T2,"20250709","12~13시",744,436,1180
T2,"20250709","13~14시",758,481,1239
T2,"20250709","14~15시",766,510,1276
T2,"20250709","15~16시",515,292,807
T2,"20250709","16~17시",1004,580,1584
T2,"20250709","17~18시",1327,1002,2329
T2,"20250709","18~19시",996,749,1745
T2,"20250709","19~20시",1058,0,1058
T2,"20250709","20~21시",440,0,440
T2,"20250709","21~22시",267,0,267
T2,"20250709","22~23시",86,0,86
T2,"20250709","23~24시",0,0,0
