"year","month","time_slot","flight_arrival","flight_departure","flight_total","passenger_arrival","passenger_departure","passenger_total","cargo_arrival","cargo_departure","cargo_total"
"2023","7","00시-01시",159,307,466,18265,32620,50885,1700,9108,10808
"2023","7","01시-02시",95,334,429,10885,31598,42483,1269,7593,8862
"2023","7","02시-03시",47,260,307,1077,27981,29058,1705,5585,7289
"2023","7","03시-04시",185,89,274,29809,7409,37218,2837,1860,4697
"2023","7","04시-05시",460,57,517,95993,805,96798,2446,1970,4416
"2023","7","05시-06시",622,73,695,116568,1305,117873,3927,1971,5898
"2023","7","06시-07시",995,150,1145,168764,22260,191024,6720,1257,7977
"2023","7","07시-08시",942,523,1465,141708,85242,226950,10242,1968,12210
"2023","7","08시-09시",684,1111,1795,107717,202726,310443,8378,2962,11340
"2023","7","09시-10시",595,1011,1606,103922,193515,297437,5457,4509,9965
"2023","7","10시-11시",566,1018,1584,77451,222915,300366,6592,6923,13514
"2023","7","11시-12시",835,910,1745,121731,174838,296569,5937,6215,12152
"2023","7","12시-13시",881,856,1737,131805,146838,278643,5422,5698,11120
"2023","7","13시-14시",789,882,1671,122754,142854,265608,5558,5242,10800
"2023","7","14시-15시",738,919,1657,140852,135057,275909,4443,5442,9884
"2023","7","15시-16시",1029,794,1823,187697,134618,322315,7372,4193,11565
"2023","7","16시-17시",1039,727,1766,210311,133680,343991,8270,3279,11549
"2023","7","17시-18시",1069,642,1711,230151,117171,347322,6960,2979,9939
"2023","7","18시-19시",758,735,1493,135522,137422,272944,3554,4046,7599
"2023","7","19시-20시",757,836,1593,112397,172018,284415,3935,3342,7278
"2023","7","20시-21시",768,898,1666,105876,200914,306790,6314,3398,9712
"2023","7","21시-22시",604,845,1449,94138,178060,272198,4405,3106,7510
"2023","7","22시-23시",473,799,1272,61615,115120,176735,3551,9348,12899
"2023","7","23시-00시",265,575,840,27052,68330,95382,3605,13054,16658
"2023","8","00시-01시",168,281,449,21718,30111,51829,1866,7624,9490
"2023","8","01시-02시",75,355,430,7692,34730,42422,1207,7148,8354
"2023","8","02시-03시",80,236,316,4854,24872,29726,2387,5882,8269
"2023","8","03시-04시",259,91,350,44631,6073,50704,2509,2180,4690
"2023","8","04시-05시",424,65,489,92135,229,92364,2186,2569,4755
"2023","8","05시-06시",688,83,771,137649,675,138324,4152,2435,6586
"2023","8","06시-07시",1013,144,1157,197851,21777,219628,6288,604,6893
"2023","8","07시-08시",987,561,1548,168938,86570,255508,9659,1862,11521
"2023","8","08시-09시",633,1120,1753,108964,199340,308304,7769,3375,11143
"2023","8","09시-10시",605,1075,1680,108483,200389,308872,5400,4991,10390
"2023","8","10시-11시",588,1067,1655,98998,227153,326151,5176,7380,12555
"2023","8","11시-12시",828,887,1715,125772,172105,297877,6674,4952,11625
"2023","8","12시-13시",856,904,1760,147524,153857,301381,4360,6040,10400
"2023","8","13시-14시",808,853,1661,135714,133351,269065,5421,5151,10571
"2023","8","14시-15시",703,891,1594,136816,134179,270995,3997,4425,8422
"2023","8","15시-16시",1030,795,1825,194170,142088,336258,6684,3214,9898
"2023","8","16시-17시",1088,752,1840,228762,126059,354821,7688,4073,11761
"2023","8","17시-18시",1072,653,1725,225451,113905,339356,5760,3234,8994
"2023","8","18시-19시",821,762,1583,145941,139983,285924,4128,3401,7529
"2023","8","19시-20시",775,911,1686,124804,173201,298005,3387,3710,7098
"2023","8","20시-21시",792,913,1705,122032,190876,312908,6096,3461,9557
"2023","8","21시-22시",627,867,1494,106464,172138,278602,4097,2927,7024
"2023","8","22시-23시",482,775,1257,70780,105230,176010,3595,9855,13450
"2023","8","23시-00시",231,588,819,28293,67045,95338,3135,12975,16110
"2023","9","00시-01시",152,226,378,12694,24212,36906,2659,6094,8753
"2023","9","01시-02시",67,346,413,5315,28257,33572,1234,8867,10101
"2023","9","02시-03시",45,242,287,1205,19895,21100,2053,6800,8853
"2023","9","03시-04시",200,83,283,29687,3956,33643,2119,2759,4879
"2023","9","04시-05시",502,69,571,95889,172,96061,2890,3429,6319
"2023","9","05시-06시",661,66,727,109084,0,109084,4355,2355,6710
"2023","9","06시-07시",996,153,1149,158267,21263,179530,5972,785,6757
"2023","9","07시-08시",843,550,1393,121870,84032,205902,9490,2223,11713
"2023","9","08시-09시",575,1183,1758,85299,199191,284490,7306,4222,11528
"2023","9","09시-10시",561,1057,1618,90330,195746,286076,6133,4513,10646
"2023","9","10시-11시",600,1041,1641,81499,215015,296514,5875,7563,13438
"2023","9","11시-12시",818,873,1691,112635,165693,278328,6338,6487,12825
"2023","9","12시-13시",855,880,1735,126815,148337,275152,5519,6140,11659
"2023","9","13시-14시",762,867,1629,115203,128042,243245,3991,5507,9498
"2023","9","14시-15시",686,881,1567,116100,130600,246700,4040,6350,10389
"2023","9","15시-16시",984,773,1757,166401,127706,294107,6216,3165,9381
