English_City,Korean_City,Time_Difference_vs_Seoul_Hours
Sukhothai,수코타이,-2
JemajaIsland,제마자 제도,-2
Elazig,엘라지그,-6
Pontianak,폰티아낙,-2
Port Lincoln,포트링컨,+0.5
Norwood,노우드,+0.5
Izmir,이즈미르,-6
Barrancabermeja,바랑카베르메하,-14
Kerikeri,케리케리,+3
Mangalore,망갈로르,-3.5
Lyon,리옹,-7
Changzhi,창즈,-1
Payerne,파예른,-7
Lopez Island,로페즈 아일랜드,-16
Bouake,부아케,-8
Pretoria,프리토리아,-7
Victoria,빅토리아,-16
Mwanza,므완자,-6
Lonorore,로노로레,+2
Ketapang,케타팡,-2
Oruro,오루로,-13
Tikehau,티케하우,-19
BahIa Solano,바이아 솔라노,-14
Cedar Rapids,시더 래피즈,-14
Mont-Joli,몽 졸리,-13
Malta,몰타,-7
Wanigela,와니겔라,+1
Fakarava,파카라바,-19
San Luis,산 루이스,-12
Catarman,카타르만,-1
Mentawai Islands,멘타와이 제도,-2
Matsuyama,마쓰야마,+0
Lakselv,락셀브,-7
Hanamaki,하나마키,+0
Bengkulu,벵쿨루,-2
Eirunepe,이루네페,-14
Tiksi,틱시,+1
Round Lake,라운드 레이크,-15
Maracaibo,마라카이보,-13
Hancock,핸콕,-14
Mafeteng,마페텡,-7
Fagernes,파게르네스,-7
Takotna,타코트나,-17
Soroako,소로아코,-1
Santa Monica,산타모니카,-16
Bedourie,베두리,+1
Colville Lake,콜빌 레이크,-16
Gambela,감벨라,-6
Skien,시엔,-7
Kivalina,키발리나,-18
Kitakyushu,기타큐슈,+0
Te Anau,테 아나우,+3
Patos,파토스,-12
Manitowoc,매니토웍,-14
MonterIa,몬테리아,-14
Kipnuk,킵눅,-17
Yaounde,야운데이,-8
Santa Lucia,산타 루시아,-13
Ali-Sabieh,알리-사비에,-6
Yongshu Jiao,융수자오,-1
Nice,니스,-7
Paamiut,파미우트,-12
Luzhou,루저우,-1
Osmanabad,오스마나바드,-3.5
Masai Mara,마사이 마라,-6
Port Huron,포트 휴런,-13
Bario,바리오,-1
Cabimas,카비마스,-13
Ilimanaq Harbour,일리마나크 항구,-12
Chillan,치얀,-13
Ust-Maya,우스티 마야,+1
Axum,악숨,-6
Jerez de la Frontera,헤레스 데 라 프론테라,-8
Biysk,비스크,-2
Hamilton,해밀턴,-13
Chlef,슐레프,-8
Sioux,수,-14
Sanday,샌디,-8
Battle Creek,배틀 크리크,-14
Shangrao,상라오,-1
Batsfjord,바츠피오르드,-7
Kasaan,카산,-17
Boende,보엔데,-7
Sitia,시티아,-7
Augusta,오거스타,-13
Arthur's Town,아서스 타운,-14
Los Mochis,로스 모치스,-15
Fort Resolution,포트 레졸루션,-15
Nanchong,난충,-1
Mae Sot,매 솟,-2
Al-Diwaniyah,알디와니야,-6
Treasure Cay,트레저 케이,-14
