City,Korean_Name,Time_Difference_From_Seoul_Hours
Providence,프로비던스,-13
Simikot,시미콧,-3.75
Wemindji,위민지,-14
Reims,랭스,-7
Kadapa,카다파,-3.5
Christchurch,크라이스트처치,+3
Agadir,아가디르,-8
Monkey Mia,몽키 마이아,+1
Siem Reap,시엠레아프,-2
Scottsdale,스코츠데일,-16
Kangding,캉딩,-1
Hurghada,후르가다,-6
Punta del Este,푼타델에스테,-12
Muskrat Dam,머스크랫 댐,-14
Cambridge Bay,케임브리지 베이,-15
Langgur,랑구르,+2
Kahramanmaras,카흐라만마라슈,-6
Yopal,요팔,-14
Yutian,위톈,-3
Lindi,린디,-6
Kulusuk,쿨루숙,-11
Kayes,카예스,-9
Shell Mera,셸메라,-14
Salerno,살레르노,-7
Hamadan,하마단,-4.5
Saint Kitts,세인트 키츠,-13
Braunschweig,브라운슈바이크,-7
Benguela,벵겔라,-8
Suki,스키,-3
Gods Lake Narrows,갓스 레이크 내로우즈,-14
Abilene,애빌린,-15
Vila Real,빌라 헤알,-8
Milingimbi Island,밀링김비 아일랜드,+0.5
Cheboksary,체복사리,-6
Metlakatla,메틀라카틀라,-17
Villavicencio,비야비센시오,-14
Pyongyang,평양,-0.5
Fuerte Olimpo,푸에르테 올림포,-13
Samos,사모스,-6
USak,우샤크,-6
Minneapolis,미니애폴리스,-14
Divinopolis,디비노폴리스,-12
Pekaulang,페카울랑,-2
Alicante,알리칸테,-7
Provo,프로보,-16
Paipa,파이파,-14
Birnin Kebbi,비르닌 케비,-8
Gode,고데,-6
Marietta,마리에타,-13
Bearskin Lake,베어스킨 레이크,-14
Yoronjima,요론지마,+0
Cheyenne,샤이엔,-16
Ulanhot,울란호트,+1
Imperial,임페리얼,-17
Newtok,뉴톡,-18
Cayo Coco,카요 코코,-13
Porto Santo Island,포르토 산투 섬,-9
Islip,아이슬립,-13
Chibougamau,시부가모,-14
Maniitsoq,마니이톡,-11
Pangkalanbun,팡칼란분,-2
El Bolson,엘 볼손,-12
Tan-Tan,탄탄,-8
Waterfall,폭포,-13
Windhoek,빈트후크,-7
Tambor,탐보르,-15
Naryan-Mar,나리얀마르,-6
Adiyaman,아디야만,-6
Sogndal,송달,-7
Kalaupapa,칼라우파파,-19
Suifenhe,쑤이펀허,+1
Napakiak,나파키악,-18
Changde,창더,-1
Abemama Atoll,아베마마 아톨,+3
Virac,비라크,-1
Gurayat,구라이야트,-6
Hatay,하타이,-6
Tame,타메,-14
Kumamoto,구마모토,+0
Cangzhou,창저우,-1
Piura,피우라,-14
Saguenay-Bagotville,사가네-바고트빌,-14
Cusco,쿠스코,-14
Puerto Lempira,푸에르토 렘피라,-15
Lawas,라와스,-1
Bodrum,보드룸,-6
Catamarca,카타마르카,-12
Baker Lake,베이커 레이크,-15
Agatti Island,아가티 아일랜드,-3.5
Meulaboh,메울라보흐,-2
Puerto Carreno,푸에르토 카레뇨,-14
Limoges,리모주,-7
Burqin,부르친,-3
Talara,탈라라,-14
Palm Island,팜 아일랜드,+1
Mogadishu,모가디슈,-6
Juist,위스트,-7
Lansing,랜싱,-13
Ondjiva,온디바,-7
Dumka,둠카,-3.5
Chaghcharan,차그차란,-4.5
Chefornak,체포르낙,-18
Tahiti,타히티,-19
Ambatondrazaka,암바톤드라자카,-6
Zhengzhou,정저우,-1
Ciudad Constitucion,시우다드 콘스티투시온,-16
Banjul,반줄,-9
Fort Frances,포트 프랜시스,-14
Nukutepipi,누쿠테피피,-19
Lamu,라무,-6
Remada,레마다,-8
Minocqua,미노콰,-14
Florence,플로렌스,-7
South Naknek,사우스 나크넥,-18
Onotoa,오노토아,+3
Logrono,로그로뇨,-7
Deadman's Cay,데드맨스 케이,-13
Mianyang,몐양,-1
CriciUma,크리시우마,-12
Manzini,만지니,-7
Deer Lake,디어 레이크,-12.5
Denver,덴버,-16
Boulder City,볼더 시티,-16
Sucre,수크레,-13
Brevig Mission,브레비그 미션,-18
Providencia Island,프로비덴시아 섬,-14
Dobo,도보,+2
Wipim,위핌,+1
Ngaoundere,응아운데레,-8
Guarapuava,과라푸아바,-12
Maupiti,마우피티,-19
Villa Gesell,비야 헤셀,-12
Chiang Mai,치앙마이,-2
Port Clarence,포트 클래런스,-18
Deering,디어링,-18
Arba Minch,아르바 민치,-6
Ktahya,퀴타히아,-6
Schefferville,셰퍼빌,-14
CUcuta,쿠쿠타,-14
Okhotsk,오호츠크,+1
Arapongas,아라퐁가스,-12
Aden,아덴,-6
Broome,브룸,+1
Palmas,팔마스,-12
Gruyere,그뤼에르,-7
Timaru,티마루,+3
BorlAnge,볼렌에,-7
Balkhash,발하시,-4
Flores,플로레스,-15
Denizli,데니즐리,-6
Beloyarsky,벨로야르스키,-4
Laramie,라라미,-16
Nemiscau,네미스코,-14
Tuntutuliak,툰투툴리악,-18
Ostersund,외스테르순드,-7
Chongqing,충칭,-1
Abuja,아부자,-8
Zouerate,주에라트,-9
Hua Hin,후아힌,-2
Calbayog,칼바요그,-1
Fort Smith,포트 스미스,-15
Tabubil,타부빌,+1
Normanton,노르만톤,+1
Paramaribo,파라마리보,-12
Sorriso,소리소,-13
Rhinelander,라인랜더,-14
Genoa,제노아,-7
Tobago,토바고,-13
Igloolik,이글루릭,-15
Ust-Tsilma,우스티칠마,-6
Puerto Natales,푸에르토 나탈레스,-12
Itaituba,이타이투바,-13
Farnborough,판버러,-8
Akulivik,아쿨리빅,-14
Grodno,그로드노,-7
PlayaSamara,플라야 사마라,-15
Sirri Island,시리 섬,-5.5
Kemi-Tornio,케미-토르니오,-7
Muskegon,머스키건,-13
Novi Sad,노비 사드,-7
Smyrna,스미르나,-6
Saharanpur,사하란푸르,-3.5
Zagreb,자그레브,-7
Campinas Amarais,캄피나스 아마라이스,-12
Sawan,사와나,-4
Wau,와우,-6
Ghat,가트,-7
Avignon,아비뇽,-7
siauliai,시아울리아이,-6
NeomBay,네옴 베이,-6
Exeter,엑서터,-8
Brahmapur,브라마푸르,-3.5
False Pass,폴스 패스,-18
Serbia,세르비아,-7
Wa,와,-9
Salmon,새먼,-16
HoChiMinh,호찌민,-2
Waco,웨이코,-15
Taos,타오스,-16
Durban,더반,-7
Le Havre,르아브르,-7
Moanda,모안다,-8
Mariehamn,마리에함,-7
Bojnord,보즈누르드,-4.5
Rabigh,라비그,-6
Balurghat,발루르가트,-3.5
Inyokern,인요컨,-17
