en_airport	ko_airport	des	iata_code	icao_code	region	en_country	ko_country	en_city	ko_city	time_diff
London Heathrow Airport	런던 히드로 공항	런던히드로	LHR	EGLL	유럽	United Kingdom	영국	London	런던	-8
Buyant-Ukhaa International Airport	부얀트 우카 국제공항	부얀트 우카	UBN	ZMUB	아시아	Mongolia	몽골	Ulaanbaatar	울란바토르	-1
Incheon International Airport	인천국제공항	인천	ICN	RKSI	아시아	South Korea	대한민국	Incheon	인천	0
Heydar Aliyev International Airport	헤이다르 알리예프 국제공항	헤이다르 알리예프	GYD	UBBB	아시아/유럽	Azerbaijan	아제르바이잔	Baku	바쿠	-5
Sacheon Airport	사천공항	사천	HIN	RKPS	아시아	South Korea	대한민국	Sacheon	사천	0
Shijiazhuang Zhengding International Airport	석가장 정딩 국제공항	석가장	SJW	ZBSJ	아시아	China	중국	Shijiazhuang	석가장	-1
Qingdao Jiaodong International Airport	청도 자오둥 국제공항	청도	TAO	ZSQD	아시아	China	중국	Qingdao	청도	-1
Shenyang Taoxian International Airport	심양 타오셴 국제공항	심양	SHE	ZYTX	아시아	China	중국	Shenyang	심양	-1
Chengdu Shuangliu International Airport	청두 솽류 국제공항	청두(성도)	CTU	ZUUU	아시아	China	중국	Chengdu	청두(성도)	-1
Sunan Shuofang International Airport	수난 슈오팡 국제공항	수난 슈오팡 국제공항	WUX	ZSWX	아시아	China	중국	Wuxi	우시	-1
Ordos Ejin Horo Airport	오르도스 에진 호로 국제공항	오르도스 에진 호로 국제 공항	DSN	ZBDS	아시아	China	중국	Ordos	오르도스	-1
Gimpo International Airport	김포국제공항	김포	GMP	RKSS	아시아	South Korea	대한민국	Seoul	김포	0
Guilin Liangjiang International Airport	계림 량장 국제공항	계림	KWL	ZGKL	아시아	China	중국	Guilin	계림	-1
Beijing Daxing International Airport	베이징 다싱 국제공항	베이징 다싱 국제공항	PKX	ZBAD	아시아	China	중국	Beijing	베이징	-1
