"terminal","date","year","month","day","hour_of_day","departure_gate","passengers_forecast"
T1,"20250720","2025","07","20","00",t1_1_2,0
T1,"20250720","2025","07","20","00",t1_3,817
T1,"20250720","2025","07","20","00",t1_4,0
T1,"20250720","2025","07","20","00",t1_5_6,0
T2,"20250720","2025","07","20","00",t2_1,0
T2,"20250720","2025","07","20","00",t2_2,0
T1,"20250720","2025","07","20","01",t1_1_2,0
T1,"20250720","2025","07","20","01",t1_3,193
T1,"20250720","2025","07","20","01",t1_4,0
T1,"20250720","2025","07","20","01",t1_5_6,0
T2,"20250720","2025","07","20","01",t2_1,0
T2,"20250720","2025","07","20","01",t2_2,0
T1,"20250720","2025","07","20","02",t1_1_2,0
T1,"20250720","2025","07","20","02",t1_3,8
T1,"20250720","2025","07","20","02",t1_4,0
T1,"20250720","2025","07","20","02",t1_5_6,0
T2,"20250720","2025","07","20","02",t2_1,0
T2,"20250720","2025","07","20","02",t2_2,0
T1,"20250720","2025","07","20","03",t1_1_2,0
T1,"20250720","2025","07","20","03",t1_3,210
T1,"20250720","2025","07","20","03",t1_4,0
T1,"20250720","2025","07","20","03",t1_5_6,0
T2,"20250720","2025","07","20","03",t2_1,23
T2,"20250720","2025","07","20","03",t2_2,0
T1,"20250720","2025","07","20","04",t1_1_2,0
T1,"20250720","2025","07","20","04",t1_3,906
T1,"20250720","2025","07","20","04",t1_4,0
T1,"20250720","2025","07","20","04",t1_5_6,0
T2,"20250720","2025","07","20","04",t2_1,280
T2,"20250720","2025","07","20","04",t2_2,0
T1,"20250720","2025","07","20","05",t1_1_2,0
T1,"20250720","2025","07","20","05",t1_3,1756
T1,"20250720","2025","07","20","05",t1_4,0
T1,"20250720","2025","07","20","05",t1_5_6,782
T2,"20250720","2025","07","20","05",t2_1,1394
T2,"20250720","2025","07","20","05",t2_2,0
T1,"20250720","2025","07","20","06",t1_1_2,1244
T1,"20250720","2025","07","20","06",t1_3,1563
T1,"20250720","2025","07","20","06",t1_4,591
T1,"20250720","2025","07","20","06",t1_5_6,1048
T2,"20250720","2025","07","20","06",t2_1,1542
T2,"20250720","2025","07","20","06",t2_2,1103
T1,"20250720","2025","07","20","07",t1_1_2,1895
T1,"20250720","2025","07","20","07",t1_3,1330
T1,"20250720","2025","07","20","07",t1_4,1113
T1,"20250720","2025","07","20","07",t1_5_6,1301
T2,"20250720","2025","07","20","07",t2_1,1946
T2,"20250720","2025","07","20","07",t2_2,1138
T1,"20250720","2025","07","20","08",t1_1_2,1398
T1,"20250720","2025","07","20","08",t1_3,1330
T1,"20250720","2025","07","20","08",t1_4,777
T1,"20250720","2025","07","20","08",t1_5_6,1223
T2,"20250720","2025","07","20","08",t2_1,1887
T2,"20250720","2025","07","20","08",t2_2,1123
T1,"20250720","2025","07","20","09",t1_1_2,1156
T1,"20250720","2025","07","20","09",t1_3,1022
T1,"20250720","2025","07","20","09",t1_4,908
T1,"20250720","2025","07","20","09",t1_5_6,1172
T2,"20250720","2025","07","20","09",t2_1,1016
T2,"20250720","2025","07","20","09",t2_2,695
T1,"20250720","2025","07","20","10",t1_1_2,1270
T1,"20250720","2025","07","20","10",t1_3,780
T1,"20250720","2025","07","20","10",t1_4,1010
T1,"20250720","2025","07","20","10",t1_5_6,953
T2,"20250720","2025","07","20","10",t2_1,715
T2,"20250720","2025","07","20","10",t2_2,558
