"출발국가","출발공항","공항코드","운항일자","계획시간","실제시간","운항편명","환승승객"
"중국","다롄(대련)","DLC","2024-11-06","17:30","17:49","CZ696","0"
"인도네시아","덴파사르","DPS","2024-11-06","17:40","18:08","KE629","53"
"미얀마","양곤","RGN","2024-11-06","17:45","18:24","KE489","29"
"인도네시아","바탐","BTH","2024-11-06","17:45","18:48","7C5301","0"
"아랍에미리트","아부다비","AUH","2024-11-06","17:50","18:01","EY823","7"
"중국","베이징/서우두","PEK","2024-11-06","17:50","18:05","CA126","3"
"미국","애틀랜타","ATL","2024-11-06","17:50","18:14","DL188","97"
"중국","푸저우","FOC","2024-11-06","17:55","18:03","MF878","3"
"베트남","호찌민","SGN","2024-11-06","17:55","19:02","VN403","4"
"말레이시아","코타키나발루","BKI","2024-11-06","18:00","18:25","LJ131","1"
"베트남","푸꾸옥","PQC","2024-11-06","18:00","18:34","7C4103","2"
"미국","샌프란시스코","SFO","2024-11-06","18:00","18:40","UA892","27"
"태국","방콕/수완나품","BKK","2024-11-06","18:05","18:21","OZ741","37"
"베트남","하노이","HAN","2024-11-06","18:05","18:32","VN415","26"
"필리핀","마닐라","MNL","2024-11-06","18:05","18:38","7C2305","28"
"베트남","나트랑","CXR","2024-11-06","18:05","19:31","KE465","7"
"일본","후쿠오카","FUK","2024-11-06","18:10","18:27","TW295","3"
"뉴질랜드","오클랜드","AKL","2024-11-06","18:10","18:44","KE411","19"
"말레이시아","코타키나발루","BKI","2024-11-06","18:15","18:29","TW169","1"
"일본","후쿠오카","FUK","2024-11-06","18:15","18:36","OZ136","11"
"미국","시애틀","SEA","2024-11-06","18:15","18:46","OZ272","101"
"한국","부산","PUS","2024-11-06","18:15","18:50","KE1415","236"
"캐나다","밴쿠버","YVR","2024-11-06","18:20","18:52","AC064","106"
"중국","상하이/푸동","PVG","2024-11-06","18:25","18:42","FM828","4"
"캐나다","밴쿠버","YVR","2024-11-06","18:30","19:09","KE071","159"
"캄보디아","프놈펜","PNH","2024-11-06","18:30","19:23","KE689","108"
"베트남","호찌민","SGN","2024-11-06","18:30","20:00","KE475","161"
"필리핀","마닐라","MNL","2024-11-06","18:35","19:15","KE623","195"
"싱가포르","싱가포르","SIN","2024-11-06","18:35","19:46","KE645","42"
"중국","쿤밍","KMG","2024-11-06","18:40","19:04","KE161","5"
"일본","도쿄/나리타","NRT","2024-11-06","18:40","19:06","OZ108","27"
"한국","대구","TAE","2024-11-06","18:40","19:13","KE1433","106"
"베트남","하노이","HAN","2024-11-06","18:40","19:19","KE453","78"
"일본","후쿠오카","FUK","2024-11-06","18:40","19:24","KE781","15"
"베트남","다낭","DAD","2024-11-06","18:45","19:07","OZ755","20"
"일본","도쿄/나리타","NRT","2024-11-06","18:45","19:17","KE705","40"
"호주","시드니","SYD","2024-11-06","18:45","19:21","KE401","14"
"베트남","다낭","DAD","2024-11-06","18:45","19:38","KE461","34"
"말레이시아","쿠알라룸푸르","KUL","2024-11-06","18:45","20:15","D7507","0"
"미국","댈러스포트워스","DFW","2024-11-06","18:50","19:00","AA280","39"
"싱가포르","싱가포르","SIN","2024-11-06","18:50","19:11","TW171","2"
"필리핀","세부","CEB","2024-11-06","18:50","19:53","KE615","48"
"미국","샌프란시스코","SFO","2024-11-06","18:55","18:57","YP111","0"
"태국","치앙마이","CNX","2024-11-06","18:55","19:34","OZ765","27"
"라오스","비엔티안","VTE","2024-11-06","19:00","19:26","BX741","0"
"필리핀","칼리보","KLO","2024-11-06","19:00","19:28","TW189","0"
"일본","나고야","NGO","2024-11-06","19:00","19:32","KE743","24"
"일본","오사카/ 간사이","KIX","2024-11-06","19:00","19:42","KE721","41"
"베트남","다낭","DAD","2024-11-06","19:00","19:49","TW191","2"
"싱가포르","싱가포르","SIN","2024-11-06","19:05","19:43","OZ753","12"
"태국","치앙마이","CNX","2024-11-06","19:05","19:48","KE667","67"
"중국","상하이/푸동","PVG","2024-11-06","19:05","19:56","KE895","80"
"태국","방콕/수완나품","BKK","2024-11-06","19:05","20:36","KE653","222"
"일본","오사카/ 간사이","KIX","2024-11-06","19:10","19:36","OZ116","27"
"태국","치앙마이","CNX","2024-11-06","19:10","19:40","7C4205","8"
"필리핀","마닐라","MNL","2024-11-06","19:20","20:07","OZ703","123"
"중국","장가계","DYG","2024-11-06","19:20","20:20","KE163","0"
"미국","애틀랜타","ATL","2024-11-06","19:25","19:58","DL026","116"
"베트남","호찌민","SGN","2024-11-06","19:25","20:17","OZ735","110"
"홍콩","홍콩","HKG","2024-11-06","19:25","20:27","OZ745","57"
"미국","미니애폴리스","MSP","2024-11-06","19:30","20:05","DL170","122"
"베트남","하노이","HAN","2024-11-06","19:30","20:09","OZ733","36"
"태국","방콕/수완나품","BKK","2024-11-06","19:30","20:11","7C2203","2"
"미국","뉴욕/존에프케네디","JFK","2024-11-06","19:30","20:20","KE085","147"
"필리핀","보홀 팡라오","TAG","2024-11-06","19:30","20:22","RS581","0"
"중국","장가계","DYG","2024-11-06","19:35","20:02","RS813","0"
"한국","부산","PUS","2024-11-06","19:35","20:13","KE1427","336"
"캄보디아","프놈펜","PNH","2024-11-06","19:35","20:32","OZ739","14"
"라오스","비엔티안","VTE","2024-11-06","19:35","20:38","LJ161","6"
"베트남","호찌민","SGN","2024-11-06","19:35","20:45","KE477","192"
"홍콩","홍콩","HKG","2024-11-06","19:35","21:17","CX419","10"
"미국","로스앤젤레스","LAX","2024-11-06","19:40","20:25","KE011","163"
"호주","브리즈번","BNE","2024-11-06","19:40","20:34","KE407","54"
"베트남","나트랑","CXR","2024-11-06","19:40","20:55","LJ087","0"
"대만","타이베이","TPE","2024-11-06","19:45","21:59","BR159","10"
