"en_airport","ko_airport","iata_code","icao_code","region","en_country","ko_country","en_city","ko_city","time_diff","des"
A Coruna Airport,아코루냐 공항,LCG,LECO,유럽,Spain,스페인,ACoruna,아 코루냐,-7.0,아 코루냐
Aalborg Airport,올보르 공항,AAL,EKYT,유럽,Denmark,덴마크,Aalborg,올보르,-7.0,올보르
Aarhus Airport,오르후스 공항,AAR,EKAH,유럽,Denmark,덴마크,Aarhus,오르후스,-7.0,오르후스
Aasiaat Airport,아시아앗 공항,JEG,BGAA,유럽,Greenland,그린란드,Aasiaat,아시아트,-12.0,아시아트
Aba Segud Airport,아바 세구드 공항,JIM,HAJM,중동아프리카,Ethiopia,이디오피아,Jimma,짐마,-6.0,짐마
Aba Tenna Dejazmach Yilma International Airport,아바 테나 데자즈마흐 일마 국제공항,DIR,HADR,중동아프리카,Ethiopia,이디오피아,Dire Dawa,디레 다와,-6.0,디레 다와
Abadan Airport,아바단 공항,ABD,OIAA,중동아프리카,Iran,이란,Abadan,아바단,-5.5,아바단
Abaiang Airport,아바이앙 공항,ABF,NGAB,아시아태평양,Kiribati,키리바시,Abaiang,아바이앙,3.0,아바이앙
Abakan Airport,아바칸 공항,ABA,UNAA,유럽,Russia,러시아,Abakan,아바칸,-3.0,아바칸
Abbotsford International Airport,애버츠퍼드 국제공항,YXX,CYXX,북미캐나다,Canada,캐나다,Abbotsford,애벗츠포드,-17.0,애벗츠포드
Abdelhafid Boussouf Bou Chekif Airport,압델하피드 부수프 부 체키프 공항,TID,DAOB,중동아프리카,Algeria,알제리,Tiaret,티아레트,-8.0,티아레트
Abdul Rachman Saleh Airport,압둘 라흐만 살레 공항,MLG,WARA,아시아태평양,Indonesia,인도네시아,Malang,말랑,-2.0,말랑
Abdullahi Yusuf International Airport,압둘라히 유수프 국제공항,GLK,HCMR,중동아프리카,Somalia,소말리아,Galkayo,갈카요,-6.0,갈카요
Abeche Airport,아베셰 공항,AEH,FTTC,중동아프리카,Chad,차드,Abeche,아베셰,-8.0,아베셰
Abeid Amani Karume International Airport,아베이드 아마니 카루메 국제공항,ZNZ,HTZA,중동아프리카,Tanzania,탄자니아,Zanzibar,잔지바르,-6.0,잔지바르
Abel SantamarIa Airport,아벨 산타마리아 공항,SNU,MUSC,중남미,Cuba,쿠바,Santa Clara,산타 클라라,-13.0,산타 클라라
Abemama Atoll Airport,아베마마 아톨 공항,AEA,NGTB,아시아태평양,Kiribati,키리바시,Abemama Atoll,아베마마 아톨,3.0,아베마마 아톨
Aberdeen International Airport,애버딘 국제공항,ABZ,EGPD,유럽,United Kingdom,영국,Aberdeen,애버딘,-8.0,애버딘
Aberdeen Regional Airport,애버딘 지역 공항,ABR,KABR,북미캐나다,United States,미국,Aberdeen,애버딘,-8.0,애버딘
Abha Regional Airport,아바 공항,AHB,OEAB,중동아프리카,Saudi Arabia,사우디아라비아,Abha,아브하,-6.0,아브하
Abilene Regional Airport,애빌린 지역 공항,ABI,KABI,북미캐나다,United States,미국,Abilene,애빌린,-15.0,애빌린
Abraham Gonzalez International Airport,아브라함 곤잘레스 국제 공항,CJS,MMCS,중남미,Mexico,멕시코,Ciudad Juarez,시우다드 후아레스,-15.0,시우다드 후아레스
Abraham Lincoln Capital Airport,에이브러햄 링컨 캐피털 공항,SPI,KSPI,북미캐나다,United States,미국,Springfield,스프링필드,-14.0,스프링필드
Abruzzo Airport,아브루초 공항,PSR,LIBP,유럽,Italy,이탈리아,Pescara,페스카라,-7.0,페스카라
Abu Dhabi International Airport,아부다비 국제공항,AUH,OMAA,중동아프리카,United Arab Emirates,아랍에미레이트,Abu Dhabi,아부다비,-5.0,아부다비
Abu Musa Airport,아부무사 공항,AEU,OIBA,중동아프리카,Iran,이란,Abu Musa Island,아부 무사 섬,-5.5,아부 무사 섬
Abu Simbel Airport,아부심벨 공항,ABS,HEBL,중동아프리카,Egypt,이집트,Abu Simbel,아부 심벨,-7.0,아부 심벨
Acadiana Regional Airport,아카디아나 지역공항,ARA,KARA,북미캐나다,United States,미국,Iberia,이베리아,-13.0,이베리아
Acandi Alcides Fernandez Airport,아칸디 알시데스 페르난데스 공항,ACD,SKAD,중남미,Colombia,콜롬비아,Acandi,아칸디,-14.0,아칸디
Acapulco Alvarez International Airport,아카풀코 알바레스 국제공항,ACA,MMAA,중남미,Mexico,멕시코,Acapulco,아카풀코,-15.0,아카풀코
Accra Kotoka International Airport,아크라 코토카 국제공항,ACC,DGAA,중동아프리카,Ghana,가나,Accra,아크라,-9.0,아크라
Achmad Yani International Airport,아흐마드 야니 국제공항,SRG,WAHS,아시아태평양,Indonesia,인도네시아,Semarang,세마랑,-2.0,세마랑
Achutupo Airport,아추투포 공항,ACU,n/a,중남미,Panama,파나마,Achutupo,아추투포,-14.0,아추투포
Adado Airport,아다도 공항,AAD,HCAD,중동아프리카,Somalia,소말리아,Adado,아다도,-6.0,아다도
Adak Island Naval Airport,아다크 섬 해군 공항,ADK,PADK,북미캐나다,United States,미국,Adak Island,아닥 제도,-18.0,아닥 제도
London Heathrow Airport,런던 히드로 공항,LHR,EGLL,유럽,United Kingdom,영국,London,런던,-8.0,런던히드로
Buyant-Ukhaa International Airport,부얀트 우카 국제공항,UBN,ZMUB,아시아,Mongolia,몽골,Ulaanbaatar,울란바토르,-1.0,부얀트 우카
Incheon International Airport,인천국제공항,ICN,RKSI,아시아,South Korea,대한민국,Incheon,인천,0.0,인천
Heydar Aliyev International Airport,헤이다르 알리예프 국제공항,GYD,UBBB,아시아/유럽,Azerbaijan,아제르바이잔,Baku,바쿠,-5.0,헤이다르 알리예프
Sacheon Airport,사천공항,HIN,RKPS,아시아,South Korea,대한민국,Sacheon,사천,0.0,사천
Shijiazhuang Zhengding International Airport,석가장 정딩 국제공항,SJW,ZBSJ,아시아,China,중국,Shijiazhuang,석가장,-1.0,석가장
Qingdao Jiaodong International Airport,청도 자오둥 국제공항,TAO,ZSQD,아시아,China,중국,Qingdao,청도,-1.0,청도
Shenyang Taoxian International Airport,심양 타오셴 국제공항,SHE,ZYTX,아시아,China,중국,Shenyang,심양,-1.0,심양
Chengdu Shuangliu International Airport,청두 솽류 국제공항,CTU,ZUUU,아시아,China,중국,Chengdu,청두(성도),-1.0,청두(성도)
Sunan Shuofang International Airport,수난 슈오팡 국제공항,WUX,ZSWX,아시아,China,중국,Wuxi,우시,-1.0,수난 슈오팡 국제공항
Ordos Ejin Horo Airport,오르도스 에진 호로 국제공항,DSN,ZBDS,아시아,China,중국,Ordos,오르도스,-1.0,오르도스 에진 호로 국제 공항
Gimpo International Airport,김포국제공항,GMP,RKSS,아시아,South Korea,대한민국,Seoul,김포,0.0,김포
Guilin Liangjiang International Airport,계림 량장 국제공항,KWL,ZGKL,아시아,China,중국,Guilin,계림,-1.0,계림
Beijing Daxing International Airport,베이징 다싱 국제공항,PKX,ZBAD,아시아,China,중국,Beijing,베이징,-1.0,베이징 다싱 국제공항
Narita International Airport,나리타 국제공항,NRT,RJAA,아시아,Japan,일본,Tokyo,도쿄/나리타,0.0,도쿄/나리타
Ezhou Huahu Airport,어저우 화후 공항,EHU,ZHEC,아시아,China,중국,Ezhou,어저우,-1.0,어저우화후
Noi Bai International Airport,노이바이 국제공항,HAN,VVNB,아시아,Vietnam,베트남,Hanoi,하노이,-2.0,노이바이(하노이)
Newark Liberty International Airport,뉴어크 리버티 국제공항,EWR,KEWR,북아메리카,United States,미국,Newark,뉴어크,-13.0,뉴어크 리버티 국제공항
Salt Lake City International Airport,솔트레이크시티 국제공항,SLC,KSLC,북아메리카,United States,미국,Salt Lake City,솔트레이크시티,-16.0,솔트레이크시티
Mudanjiang Hailang Airport,목단강 하이랑 공항,MDG,ZYMD,아시아,China,중국,Mudanjiang,목단강,-1.0,목단강
Shanghai Pudong International Airport,상하이 푸동 국제공항,PVG,ZSPD,아시아,China,중국,Shanghai,푸동,-1.0,푸동
Cam Ranh International Airport,깜라인 국제공항,CXR,VVCR,아시아,Vietnam,베트남,Nha Trang,나트랑,-2.0,깜라인(나트랑)
Xiamen Gaoqi International Airport,샤먼 가오치 국제공항,XMN,ZSAM,아시아,China,중국,Xiamen,샤먼,-1.0,샤먼 가오치 국제공항
Clark International Airport,클라크 국제공항,CRK,RPLC,아시아,Philippines,필리핀,Angeles City,클라크,-1.0,클라크 국제공항
Viracopos International Airport,비라코프스 국제공항,VCP,SBKP,남아메리카,Brazil,브라질,Campinas,캄피나스,-12.0,비라코프스
Phuket International Airport,푸껫 국제공항,HKT,VTSP,아시아,Thailand,태국,Phuket,푸껫,-2.0,푸껫
Dalian Zhoushuizi International Airport,대련 저우수이쯔 국제공항,DLC,ZYTL,아시아,China,중국,Dalian,대련,-1.0,대련
Phu Quoc International Airport,푸꾸옥 국제공항,PQC,VVDP,아시아,Vietnam,베트남,Phu Quoc,푸꾸옥,-2.0,푸꾸옥
Changchun Longjia International Airport,장춘 롱지아 국제공항,CGQ,ZYCC,아시아,China,중국,Changchun,장춘,-1.0,장춘
Kansai International Airport,간사이 국제공항,KIX,RJBB,아시아,Japan,일본,Osaka,오사카,0.0,간사이
Taiwan Taoyuan International Airport,타이완 타오위안 국제공항,TPE,RCTP,아시아,Taiwan,대만,Taipei,타이베이,-1.0,타이완 타오위안 국제 공항
Quebec City Jean Lesage International Airport,퀘벡 장 르사주 국제공항,YQB,CYQB,북아메리카,Canada,캐나다,Quebec City,퀘벡,-13.0,퀘벡 장 르사주 국제공항
Joint Base Lewis-McChord (McChord Field),맥코드 공군기지,MCM,KMCF,북아메리카,United States,미국,Tacoma,타코마,-16.0,맥코드공군기지
Tavaux Airport,타흐브 흐데스 파이리니 공항,DLE,LFGJ,유럽,France,프랑스,Dole,돌,-7.0,타흐브 흐데스 파이리니 공항
Shenzhen Bao'an International Airport,선전 바오안 국제공항,SZX,ZGSZ,아시아,China,중국,Shenzhen,선전(심천),-1.0,선전(심천)
Chinggis Khaan International Airport,칭기즈 칸 국제공항,UBN,ZMUB,아시아,Mongolia,몽골,Ulaanbaatar,울란바토르,-1.0,칭기즈 칸(신 울란바토르) 국제공항
Osan Air Base,오산 공군기지,OSN,RKSO,아시아,South Korea,대한민국,Pyeongtaek,오산,0.0,오산
Tianjin Binhai International Airport,천진 빈하이 국제공항,TSN,ZBTJ,아시아,China,중국,Tianjin,천진,-1.0,천진
Kitakyushu Airport,기타큐슈 공항,KKJ,RJFF,아시아,Japan,일본,Kitakyushu,기타규슈,0.0,기타규슈
Ngurah Rai International Airport,응우라 라이 국제공항,DPS,WADD,아시아,Indonesia,인도네시아,Denpasar,덴파사,-2.0,덴파사(응우라 라이)
Phu Bai International Airport,푸바이 국제공항,HUI,VVHS,아시아,Vietnam,베트남,Hue,후에,-2.0,푸바이 국제공항
Shanghai Hongqiao International Airport,상하이 홍차오 국제공항,SHA,ZSSS,아시아,China,중국,Shanghai,상해/홍차우,-1.0,상해/홍차우
Changsha Huanghua International Airport,창사 황화 국제공항,CSX,ZGHA,아시아,China,중국,Changsha,창사(장사),-1.0,창사(장사)
Soekarno-Hatta International Airport,수카르노 하타 국제공항,CGK,WIII,아시아,Indonesia,인도네시아,Jakarta,자카르타,-2.0,자카르타(수카르노 하타) 국제 공항
Shymkent International Airport,쉼켄트 국제공항,CIT,UAII,아시아,Kazakhstan,카자흐스탄,Shymkent,쉼켄트,-4.0,쉼켄트
Jiamusi Dongjiao Airport,가목사 동교 공항,JMU,ZYJM,아시아,China,중국,Jiamusi,가목사,-1.0,가목사
Katowice Airport,카토비체 공항,KTW,EPKT,유럽,Poland,폴란드,Katowice,카토비체,-8.0,카트비
Chengdu Tianfu International Airport,청두 톈푸 국제공항,TFU,ZUOF,아시아,China,중국,Chengdu,청두,-1.0,청두 티안푸국제공항
Suvarnabhumi Airport,수완나품 공항,BKK,VTBS,아시아,Thailand,태국,Bangkok,방콕,-2.0,수안나폼(방콕)
Luxembourg Findel Airport,룩셈부르크 핀델 공항,LUX,ELLX,유럽,Luxembourg,룩셈부르크,Luxembourg City,룩셈부르크,-7.0,룩셈부르크 핀델 공항
Mactan-Cebu International Airport,막탄-세부 국제공항,CEB,RPVM,아시아,Philippines,필리핀,Cebu,세부,-1.0,세부
Fuzhou Changle International Airport,푸저우 창러 국제공항,FOC,ZSFZ,아시아,China,중국,Fuzhou,푸저우(복주),-1.0,푸저우(복주)
Nanjing Lukou International Airport,난징 루커우 국제공항,NKG,ZSNJ,아시아,China,중국,Nanjing,남경,-1.0,남경
Zhangjiajie Hehua International Airport,장가계 허화 국제공항,DYG,ZGDY,아시아,China,중국,Zhangjiajie,장가계,-1.0,장가계
Kobe Airport,고베 공항,UKB,RJBE,아시아,Japan,일본,Kobe,고베,0.0,고베
Bohol-Panglao International Airport,보홀-팡라오 국제공항,TAG,RPBO,아시아,Philippines,필리핀,Panglao,팡라오,-1.0,팡라로
Manas International Airport,마나스 국제공항,FRU,UCFM,아시아,Kyrgyzstan,키르기스스탄,Bishkek,비슈케크,-4.0,마나스 국제공항
Adampur Airport,아담푸르 공항,AIP,VIAX,아시아태평양,India,인도,Adampur,아담푸르,-3.5,아담푸르
Adana Sakirpasa Airport,아다나 사키르파사 공항,ADA,LTAF,유럽,Turkey,터키,Adan,아덴,-6.0,아덴
Addis Ababa Bole International Airport,아디스아바바 볼레 국제공항,ADD,HAAB,중동아프리카,Ethiopia,이디오피아,Addis Ababa,아디스아바바,-6.0,아디스아바바
Addison Airport,애디슨 공항,ADS,KADS,북미캐나다,United States,미국,Dallas,댈러스,-15.0,댈러스
Adelaide Airport,애들레이드 공항,ADL,YPAD,대양주,Australia,오스트레일리아,Adelaide,애들레이드,0.5,애들레이드
Adelaide Parafield Airport,애들레이드 파라필드 공항,n/a,YPPF,대양주,Australia,오스트레일리아,Adelaide,애들레이드,0.5,애들레이드
Aden Adde International Airport,아덴 아데 국제 공항,MGQ,HCMM,중동아프리카,Somalia,소말리아,Mogadishu,모가디슈,-6.0,모가디슈
Aden International Airport,아덴 국제공항,ADE,OYAA,중동아프리카,Yemen,예멘,Aden,아덴,-6.0,아덴
Adirondack Regional Airport,애디론댁 공항,SLK,KSLK,북미캐나다,United States,미국,Saranac Lake,사라낙 레이크,-13.0,사라낙 레이크
Adisucipto International Airport,아디수킵토 국제 공항,JOG,WARJ,아시아태평양,Indonesia,인도네시아,Yogyakarta,족자카르타,-2.0,족자카르타
Adisumarmo International Airport,아디수마르모 국제공항,SOC,WARQ,아시아태평양,Indonesia,인도네시아,Surakarta,수라카르타,-2.0,수라카르타
Adiyaman Airport,아디야만 공항,ADF,LTCP,유럽,Turkey,터키,Adiyaman,아디야만,-6.0,아디야만
Adolfo Suarez Madrid Barajas Airport,아돌포 수아레스 마드리드 바라하스 공항,MAD,LEMD,유럽,Spain,스페인,Madrid,마드리드,-7.0,마드리드
Adrar Touat Airport,아두라르 투아 공항,AZR,DAUA,중동아프리카,Algeria,알제리,Adrar,아드라르,-8.0,아드라르
Aek Godang Airport,애크고당공항,AEG,WIME,아시아태평양,Indonesia,인도네시아,Padang Sidempuan,파당 시뎀푸안,-2.0,파당 시뎀푸안
Afonso Pena International Airport,아폰소 페나 국제 공항,CWB,SBCT,중남미,Brazil,브라질,Curitiba,쿠리치바,-12.0,쿠리치바
Afutara Airport,아푸타라 공항,AFT,AGAF,아시아태평양,Solomon Islands,솔로몬 제도,Afutara,아푸타라,2.0,아푸타라
Agadir Al Massira Airport,아가디르 알 마시라 공항,AGA,GMAD,중동아프리카,Morocco,모로코,Agadir,아가디르,-8.0,아가디르
Agartala Airport,아가탈라 공항,IXA,VEAT,아시아태평양,India,인도,Agartala,아가르탈라,-3.0,아가르탈라
Agatti Aerodrome,아가티 비행장,AGX,VOAT,아시아태평양,India,인도,Agatti Island,아가티 아일랜드,-3.5,아가티 아일랜드
Agen La Garenne Airport,아겐 라 가렌느 공항,AGF,LFBA,유럽,France,프랑스,Agen,아쟁,-7.0,아쟁
Agra Airport,아그라 공항,AGR,VIAG,아시아태평양,India,인도,Agra,아그라,-3.5,아그라
Agri Airport,아리 공항,AJI,LTCO,유럽,Turkey,터키,Agri,아르나스,-6.0,아르나스
Aguachica Hacaritama Airport,아과치카 하카리타마 공항,HAY,SKAG,중남미,Colombia,콜롬비아,Aguachica,아과치카,-14.0,아과치카
Okha Airport,오카 공항,OHH,UHSH,유럽,Russia,러시아,Okha,오카,2.0,오카
Aguaclara Airport,아과클라라 공항,ACL,n/a,중남미,Colombia,콜롬비아,Aguaclara,아과클라라,-14.0,아과클라라
Aguas Claras Airport,아구아스 클라라스 공항,OCV,SKOC,중남미,Colombia,콜롬비아,Ocana,오카냐,-14.0,오카냐
Aguni Airport,아구니 공항,AGJ,RORA,아시아태평양,Japan,일본,Aguni,아구니,0.0,아구니
Ahe Airport,아헤 공항,AHE,NTHE,아시아태평양,French Polynesia,프랑스령 폴리네시아,Ahe,아헤,-19.0,아헤
Ahvaz International Airport,아바즈 국제 공항,AWZ,OIAW,중동아프리카,Iran,이란,Ahvaz,아흐바즈,-4.5,아흐바즈
Ailinglaplap Airok Airport,아이링라플랍 아이록 공항,AIC,n/a,아시아태평양,Marshall Islands,마샬 군도,Airok,아이록,3.0,아이록
Ailuk Airport,아일룩 공항,AIM,n/a,아시아태평양,Marshall Islands,마샬 군도,Ailuk Atoll,아일루크 아톨,3.0,아일루크 아톨
Ain Arnat Airport,아인 아르나트 공항,QSF,DAAS,중동아프리카,Algeria,알제리,Setif,세티프,-8.0,세티프
Ain Beida Airport,아인 베이다 공항,OGX,DAUU,중동아프리카,Algeria,알제리,Ouargla,와르글라,-8.0,와르글라
Air Force Base Hoedspruit,공군 기지 호즈프룻,HDS,FAHS,중동아프리카,South Africa,남아프리카,Hoedspruit,후드스프룻,-7.0,후드스프룻
Aitutaki Airport,아이투타키 공항,AIT,NCAI,아시아태평양,Cook Islands,쿡 군도,Aitutaki,아이투타키,-20.0,아이투타키
Ajaccio Napoleon Bonaparte Airport,아작시오 나폴레옹 보나파르트 공항,AJA,LFKJ,유럽,France,프랑스,Ajaccio,아작시오,-7.0,아작시오
Aji Pangeran Tumenggung Pranoto International Airport,아지 프린스 투멍궁 프라노토 국제공항,AAP,WALS,아시아태평양,Indonesia,인도네시아,Samarinda,사마린다,-1.0,사마린다
Ajmer Kishangarh Airport,아지메르 키샨가르 공항,KQH,VIKG,아시아태평양,India,인도,Kishangarh,키샨가르,-3.5,키샨가르
Akanu Ibiam International Airport,아카누 이비암 국제공항,ENU,DNEN,중동아프리카,Nigeria,나이지리아,Enugu,에누구,-8.0,에누구
Akhiok Airport,아키오크 공항,AKK,PAKH,북미캐나다,United States,미국,Akhiok,아키오크,-17.0,아키오크
Akiachak Airport,아키아착 공항,KKI,n/a,북미캐나다,United States,미국,Akiachak,아키아착,-17.0,아키아착
Akiak Airport,아키악 공항,AKI,PFAK,북미캐나다,United States,미국,Akiak,아키악,-18.0,아키악
Akita Airport,아키타 공항,AXT,RJSK,아시아태평양,Japan,일본,Akita,아키타,0.0,아키타
Aklavik Airport,아클라비크 공항,LAK,CYKD,북미캐나다,Canada,캐나다,Aklavik,아클라빅,-16.0,아클라빅
Akola Airport,아콜라 공항,AKD,VAAK,아시아태평양,India,인도,Akola,아콜라,-3.5,아콜라
Akron Canton Airport,애크런 캔턴 공항,CAK,KCAK,북미캐나다,United States,미국,Akron,애크런,-14.0,애크런
Aksu Airport,악수 공항,AKU,ZWAK,아시아태평양,China,중국,Aksu,아커쑤,-3.0,아커쑤
Copernicus Airport Wrocław,코페르니쿠스 공항 브로츠와프,WRO,EPWR,유럽,Poland,폴란드,Wrocław,브로츠와프,-7.0,코페르니쿠스 공항 브로츠와프
Don Mueang International Airport,돈므앙 국제공항,DMK,VTBD,아시아,Thailand,태국,Bangkok,방콕,-2.0,돈므앙(방콕)
Siem Reap?Angkor International Airport,씨엠립 앙코르 국제공항,SAI,VDSA,아시아,Cambodia,캄보디아,Siem Reap,씨엠립,-2.0,씨엠립 앙코르 국제공항
Can Tho International Airport,껀터 국제공항,VCA,VVCT,아시아,Vietnam,베트남,Can Tho,껀터,-2.0,껀터 국제공항
Al Maktoum International Airport,알막툼 국제공항,DWC,OMDW,아시아,United Arab Emirates,아랍에미리트,Dubai,두바이,-5.0,알막툼
Weihai Dashuibo Airport,위해 다시수이보 공항,WEH,ZSWH,아시아,China,중국,Weihai,위해,-1.0,위해
Yanji Chaoyangchuan International Airport,연길 차오양촨 국제공항,YNJ,ZYYJ,아시아,China,중국,Yanji,연길,-1.0,연길
Gimhae International Airport,김해국제공항,PUS,RKPK,아시아,South Korea,대한민국,Busan,김해,0.0,김해
Tokyo Haneda Airport,도쿄 하네다 공항,HND,RJTT,아시아,Japan,일본,Tokyo,하네다,0.0,하네다
Yantai Penglai International Airport,연대 펑라이 국제공항,YNT,ZSYT,아시아,China,중국,Yantai,연대,-1.0,연대
Abu Dhabi International Airport,아부다비 국제공항,AUH,OMAA,아시아,United Arab Emirates,아랍에미리트,Abu Dhabi,아부다비,-5.0,아부다비 국제공항
Sanya Phoenix International Airport,산야 피닉스 국제공항,SYX,ZJSY,아시아,China,중국,Sanya,산야,-1.0,산야
Washington Dulles International Airport,워싱턴 덜레스 국제공항,IAD,KIAD,북아메리카,United States,미국,"Washington, D.C.",워싱턴,-13.0,워싱톤
Payarev Airport,파야레바 공항,PVR,-,남아메리카,Venezuela,베네수엘라,Puerto Ayacucho,푸에르토 아야쿠초,-13.0,파야레바
Aktau Airport,악타우 공항,SCO,UATE,아시아태평양,Kazakhstan,카자흐스탄,Aktau,악타우,-4.0,악타우
Aktion National Airport,악티온 국립 공항,PVK,LGPZ,유럽,Greece,그리스,Preveza-Lefkada,프레베자-레프카다,-7.0,프레베자-레프카다
Aktobe Airport,악토베 공항,AKX,UATT,아시아태평양,Kazakhstan,카자흐스탄,Aktobe,악토베,-4.0,악토베
